time	nose_x	nose_y	r_shoulder_x	r_shoulder_y	l_shoulder_x	l_shooulder_t	cursor_x	cursor_y	block	repetition	target	trial	state	comeback	is_blind	at_home	count_mouse	score
19231.134612999856	0.5188095569610596	0.5690137147903442	0.3232491612434387	0.8734284043312073	0.800382137298584	0.8728145956993103	1068.5384128275443	478.1041298293587	1	1	0	1	0	1	0	1	0	0
19264.316629000008	0.5188095569610596	0.5690137147903442	0.3232491612434387	0.8734284043312073	0.800382137298584	0.8728145956993103	1062.5998610963582	466.6045709213705	1	1	0	1	0	1	0	1	0	0
19297.456722002476	0.5188095569610596	0.5690137147903442	0.3232491612434387	0.8734284043312073	0.800382137298584	0.8728145956993103	1041.0532647326572	453.26034029514796	1	1	0	1	0	1	0	1	0	0
19330.528976999223	0.5166781544685364	0.5770902633666992	0.32217103242874146	0.8713191747665405	0.8007115125656128	0.8905643820762634	994.676316412046	434.3791713879084	1	1	0	1	0	1	0	1	0	0
19363.60154500231	0.5166781544685364	0.5770902633666992	0.32217103242874146	0.8713191747665405	0.8007115125656128	0.8905643820762634	957.7669057999374	414.35867191439087	1	1	0	1	0	1	0	1	0	0
19396.685300000012	0.5166781544685364	0.5770902633666992	0.32217103242874146	0.8713191747665405	0.8007115125656128	0.8905643820762634	949.6734297198981	396.2884068288265	1	1	0	1	0	1	0	1	0	0
19429.7804719992	0.5166781544685364	0.5770902633666992	0.32217103242874146	0.8713191747665405	0.8007115125656128	0.8905643820762634	959.7688848655681	365.95847396047685	1	1	0	1	0	1	0	1	0	0
19463.031961001456	0.5166781544685364	0.5770902633666992	0.32217103242874146	0.8713191747665405	0.8007115125656128	0.8905643820762634	966.8596752016157	356.39375733708584	1	1	0	1	0	1	0	1	0	0
19496.529766000807	0.5166781544685364	0.5770902633666992	0.32217103242874146	0.8713191747665405	0.8007115125656128	0.8905643820762634	974.7989376351308	347.60285360857705	1	1	0	1	0	1	0	1	0	0
19529.824695002288	0.5181273221969604	0.5785919427871704	0.32375240325927734	0.8729967474937439	0.792944610118866	0.8790472745895386	989.1091938055587	333.43069115567505	1	1	0	1	0	1	0	1	0	0
19562.89862399921	0.5181273221969604	0.5785919427871704	0.32375240325927734	0.8729967474937439	0.792944610118866	0.8790472745895386	984.4068420942878	324.50904064670186	1	1	0	1	0	1	0	1	0	0
19596.522985000163	0.5181273221969604	0.5785919427871704	0.32375240325927734	0.8729967474937439	0.792944610118866	0.8790472745895386	942.7584915697656	329.3158174399392	1	1	0	1	0	1	0	1	0	0
19629.596854001284	0.5181273221969604	0.5785919427871704	0.32375240325927734	0.8729967474937439	0.792944610118866	0.8790472745895386	886.6290581511215	340.625704946949	1	1	0	1	0	1	0	1	0	0
19663.893627002835	0.5201177597045898	0.559207558631897	0.3164859414100647	0.8786458373069763	0.7880628108978271	0.8769562244415283	854.5550840102285	348.2165327048176	1	1	0	1	0	1	0	1	0	0
19697.005891002715	0.5201177597045898	0.559207558631897	0.3164859414100647	0.8786458373069763	0.7880628108978271	0.8769562244415283	838.1725700769606	356.3507542488237	1	1	0	1	0	1	0	1	0	0
